,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
450,New Jersey Devils,2007,46,29,70,0.561,206,197,9
451,New York Islanders,2007,35,38,90,0.427,194,243,-49
452,New York Rangers,2007,42,27,1030,0.512,213,199,14
453,Ottawa Senators,2007,43,31,80,0.524,261,247,14
454,Philadelphia Flyers,2007,42,29,1010,0.512,248,233,15
455,Phoenix Coyotes,2007,38,37,70,0.463,214,231,-17
456,Pittsburgh Penguins,2007,47,27,80,0.573,247,216,31
457,San Jose Sharks,2007,49,23,1000,0.598,222,193,29
458,St. Louis Blues,2007,33,36,1030,0.402,205,237,-32
459,Tampa Bay Lightning,2007,31,42,90,0.378,223,267,-44
460,Toronto Maple Leafs,2007,36,35,1010,0.439,231,260,-29
461,Vancouver Canucks,2007,39,33,1000,0.476,213,215,-2
462,Washington Capitals,2007,43,31,80,0.524,242,231,11
463,Anaheim Ducks,2008,42,33,70,0.512,245,238,7
464,Atlanta Thrashers,2008,35,41,60,0.427,257,280,-23
465,Boston Bruins,2008,53,19,1000,0.646,274,196,78
466,Buffalo Sabres,2008,41,32,90,0.5,250,234,16
467,Calgary Flames,2008,46,30,60,0.561,254,248,6
468,Carolina Hurricanes,2008,45,30,70,0.549,239,226,13
469,Columbus Blue Jackets,2008,41,31,1000,0.5,226,230,-4
470,Chicago Blackhawks,2008,46,24,1020,0.561,264,216,48
471,Colorado Avalanche,2008,32,45,50,0.39,199,257,-58
472,Dallas Stars,2008,36,35,1010,0.439,230,257,-27
473,Detroit Red Wings,2008,51,21,1000,0.622,295,244,51
474,Edmonton Oilers,2008,38,35,90,0.463,234,248,-14
475,Florida Panthers,2008,41,30,1010,0.5,234,231,3
476,Los Angeles Kings,2008,34,37,1010,0.415,207,234,-27
477,Minnesota Wild,2008,40,33,90,0.488,219,200,19
478,Montreal Canadiens,2008,41,30,1010,0.5,249,247,2
479,Nashville Predators,2008,40,34,80,0.488,213,233,-20
480,New Jersey Devils,2008,51,27,40,0.622,244,209,35
481,New York Islanders,2008,26,47,90,0.317,201,279,-78
482,New York Rangers,2008,43,30,90,0.524,210,218,-8
483,Ottawa Senators,2008,36,35,1010,0.439,217,237,-20
484,Philadelphia Flyers,2008,44,27,1010,0.537,264,238,26
485,Phoenix Coyotes,2008,36,39,70,0.439,208,252,-44
486,Pittsburgh Penguins,2008,45,28,90,0.549,264,239,25
487,San Jose Sharks,2008,53,18,1010,0.646,257,204,53
488,St. Louis Blues,2008,41,31,1000,0.5,233,233,0
489,Tampa Bay Lightning,2008,24,40,1080,0.293,210,279,-69
490,Toronto Maple Leafs,2008,34,35,1030,0.415,250,293,-43
491,Vancouver Canucks,2008,45,27,1000,0.549,246,220,26
492,Washington Capitals,2008,50,24,80,0.61,272,245,27
493,Anaheim Ducks,2009,39,32,1010,0.476,238,251,-13
494,Atlanta Thrashers,2009,35,34,1030,0.427,234,256,-22
495,Boston Bruins,2009,39,30,1030,0.476,206,200,6
496,Buffalo Sabres,2009,45,27,1000,0.549,235,207,28
497,Calgary Flames,2009,40,32,1000,0.488,204,210,-6
498,Carolina Hurricanes,2009,35,37,1000,0.427,230,256,-26
499,Columbus Blue Jackets,2009,32,35,1050,0.39,216,259,-43
500,Chicago Blackhawks,2009,52,22,80,0.634,271,209,62
501,Colorado Avalanche,2009,43,30,90,0.524,244,233,11
502,Dallas Stars,2009,37,31,1040,0.451,237,254,-17
503,Detroit Red Wings,2009,44,24,1040,0.537,229,216,13
504,Edmonton Oilers,2009,27,47,80,0.329,214,284,-70
505,Florida Panthers,2009,32,37,1030,0.39,208,244,-36
506,Los Angeles Kings,2009,46,27,90,0.561,241,219,22
507,Minnesota Wild,2009,38,36,80,0.463,219,246,-27
508,Montreal Canadiens,2009,39,33,1000,0.476,217,223,-6
509,Nashville Predators,2009,47,29,60,0.573,225,225,0
510,New Jersey Devils,2009,48,27,70,0.585,222,191,31
511,New York Islanders,2009,34,37,1010,0.415,222,264,-42
512,New York Rangers,2009,38,33,1010,0.463,222,218,4
513,Ottawa Senators,2009,44,32,60,0.537,225,238,-13
514,Philadelphia Flyers,2009,41,35,60,0.5,236,225,11
515,Phoenix Coyotes,2009,50,25,70,0.61,225,202,23
516,Pittsburgh Penguins,2009,47,28,70,0.573,257,237,20
517,San Jose Sharks,2009,51,20,1010,0.622,264,215,49
518,St. Louis Blues,2009,40,32,1000,0.488,225,223,2
519,Tampa Bay Lightning,2009,34,36,1020,0.415,217,260,-43
520,Toronto Maple Leafs,2009,30,38,1040,0.366,214,267,-53
521,Vancouver Canucks,2009,49,28,50,0.598,272,222,50
522,Washington Capitals,2009,54,15,1030,0.659,318,233,85
523,Anaheim Ducks,2010,47,30,50,0.573,239,235,4
524,Atlanta Thrashers,2010,34,36,1020,0.415,223,269,-46
525,Boston Bruins,2010,46,25,1010,0.561,246,195,51
526,Buffalo Sabres,2010,43,29,1000,0.524,245,229,16
527,Calgary Flames,2010,41,29,1020,0.5,250,237,13
528,Carolina Hurricanes,2010,40,31,1010,0.488,236,239,-3
529,Columbus Blue Jackets,2010,34,35,1030,0.415,215,258,-43
530,Chicago Blackhawks,2010,44,29,90,0.537,258,225,33
531,Colorado Avalanche,2010,30,44,80,0.366,227,288,-61
532,Dallas Stars,2010,42,29,1010,0.512,227,233,-6
533,Detroit Red Wings,2010,47,25,1000,0.573,261,241,20
534,Edmonton Oilers,2010,25,45,1020,0.305,193,269,-76
535,Florida Panthers,2010,30,40,1020,0.366,195,229,-34
536,Los Angeles Kings,2010,46,30,60,0.561,219,198,21
537,Minnesota Wild,2010,39,35,80,0.476,206,233,-27
538,Montreal Canadiens,2010,44,30,80,0.537,216,209,7
539,Nashville Predators,2010,44,27,1010,0.537,219,194,25
540,New Jersey Devils,2010,38,39,50,0.463,174,209,-35
541,New York Islanders,2010,30,39,1030,0.366,229,264,-35
542,New York Rangers,2010,44,33,50,0.537,233,198,35
543,Ottawa Senators,2010,32,40,1000,0.39,192,250,-58
544,Philadelphia Flyers,2010,47,23,1020,0.573,259,223,36
545,Phoenix Coyotes,2010,43,26,1030,0.524,231,226,5
546,Pittsburgh Penguins,2010,49,25,80,0.598,238,199,39
547,San Jose Sharks,2010,48,25,90,0.585,248,213,35
548,St. Louis Blues,2010,38,33,1010,0.463,240,234,6
549,Tampa Bay Lightning,2010,46,25,1010,0.561,247,240,7
550,Toronto Maple Leafs,2010,37,34,1010,0.451,218,251,-33
551,Vancouver Canucks,2010,54,19,90,0.659,262,185,77
552,Washington Capitals,2010,48,23,1010,0.585,224,197,27
553,Anaheim Ducks,2011,34,36,1020,0.415,204,231,-27
554,Boston Bruins,2011,49,29,40,0.598,269,202,67
555,Buffalo Sabres,2011,39,32,1010,0.476,218,230,-12
556,Calgary Flames,2011,37,29,1060,0.451,202,226,-24
557,Carolina Hurricanes,2011,33,33,1060,0.402,213,243,-30
558,Columbus Blue Jackets,2011,29,46,70,0.354,202,262,-60
